sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
NODE_2322_length_1388_cov_1.498875,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.0027873907238245,Both
k141_17402,Yes,No,Consensus,1.0,0.4934152066707611,Both,N/A,N/A,N/A
k141_32031,Yes,No,Consensus,1.0,0.0292087290436029,Both,N/A,N/A,N/A
NODE_7624_length_1005_cov_2.422105,No,Yes,Consensus,N/A,N/A,N/A,0.9,0.0056727211922407,Both
k141_4311,Yes,No,Consensus,,0.4917950928211212,Both,N/A,N/A,N/A
NODE_4771_length_1144_cov_1.549128,No,Yes,Consensus,N/A,N/A,N/A,0.873,0.0153280673548579,Both
NODE_1599_length_1536_cov_10.480081,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.2002097815275192,Both
k141_4962,Yes,No,Consensus,0.947,4.476021058508195e-05,Both,N/A,N/A,N/A
NODE_3124_length_1281_cov_1.168026,No,Yes,Consensus,N/A,N/A,N/A,0.687,0.0755365490913391,Both
k141_140822,Yes,No,Consensus,0.627,0.0049727042205631,Both,N/A,N/A,N/A
k141_47211,Yes,No,Consensus,0.84,1.9587510905694216e-05,Both,N/A,N/A,N/A
k141_60084,Yes,No,Consensus,0.607,0.1651273220777511,Both,N/A,N/A,N/A
k141_80051,Yes,No,Consensus,1.0,0.162427544593811,Both,N/A,N/A,N/A
k141_70944,Yes,No,Consensus,0.7,0.0001474681484978,Both,N/A,N/A,N/A
NODE_5712_length_1086_cov_1.091174,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.4537846148014068,Both
k141_126368,Yes,No,Consensus,,0.0005149649223312,Both,N/A,N/A,N/A
k141_151715,Yes,No,Consensus,0.84,1.5124633137020282e-06,Both,N/A,N/A,N/A
k141_126685,Yes,No,Consensus,0.773,0.2442697882652282,Both,N/A,N/A,N/A
k141_157121,Yes,No,Consensus,0.807,0.0032167530152946,Both,N/A,N/A,N/A
k141_167906,Yes,No,Consensus,0.96,0.0751804113388061,Both,N/A,N/A,N/A
k141_38434,Yes,No,Consensus,1.0,0.0002054238866548,Both,N/A,N/A,N/A
k141_143156,Yes,No,Consensus,,0.0037285224534571,Both,N/A,N/A,N/A
k141_62124,Yes,No,Consensus,0.74,0.2473832219839096,Both,N/A,N/A,N/A
k141_61823,Yes,No,Consensus,0.7,0.046434860676527,Both,N/A,N/A,N/A
k141_51648,Yes,No,Consensus,0.92,0.0107131963595747,Both,N/A,N/A,N/A
k141_139567,Yes,No,Consensus,0.927,0.0027476879768073,Both,N/A,N/A,N/A
k141_62583,Yes,No,Consensus,0.98,0.0520157665014267,Both,N/A,N/A,N/A
NODE_1818_length_1487_cov_2.956704,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.2349200695753097,Both
k141_25505,Yes,No,Consensus,0.907,0.0031651770696043,Both,N/A,N/A,N/A
k141_76036,Yes,No,Consensus,0.86,9.303975093644112e-05,Both,N/A,N/A,N/A
k141_157590,Yes,No,Consensus,0.893,0.3509960770606994,Both,N/A,N/A,N/A
k141_71871,Yes,No,Consensus,0.793,0.9584810733795166,Both,N/A,N/A,N/A
k141_164465,Yes,No,Consensus,0.52,0.8564216494560242,Both,N/A,N/A,N/A
NODE_2606_length_1343_cov_1.841615,No,Yes,Consensus,N/A,N/A,N/A,0.553,0.0051417453214526,Both
k141_162948,Yes,No,Consensus,0.993,0.9681581258773804,Both,N/A,N/A,N/A
k141_69279,Yes,No,Consensus,0.993,0.0001577817456563,Both,N/A,N/A,N/A
k141_53270,Yes,No,Consensus,0.767,0.0004668914189096,Both,N/A,N/A,N/A
k141_29507,Yes,No,Consensus,0.54,4.419876495376229e-05,Both,N/A,N/A,N/A
k141_104946,Yes,No,Consensus,0.64,0.0175302848219871,Both,N/A,N/A,N/A
NODE_2352_length_1382_cov_2.902788,No,Yes,Consensus,N/A,N/A,N/A,,0.9983310699462892,Both
k141_25072,Yes,No,Consensus,,0.8760886192321777,Both,N/A,N/A,N/A
k141_106443,Yes,No,Consensus,0.993,0.3648829758167267,Both,N/A,N/A,N/A
NODE_6159_length_1064_cov_1.794846,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.028333643451333,Both
k141_125628,Yes,No,Consensus,,0.0097096571698784,Both,N/A,N/A,N/A
k141_125559,Yes,No,Consensus,0.807,0.168397307395935,Both,N/A,N/A,N/A
NODE_4533_length_1160_cov_1.214480,No,Yes,Consensus,N/A,N/A,N/A,0.88,0.9180041551589966,Both
k141_134328,Yes,No,Consensus,0.667,1.631588747841306e-05,Both,N/A,N/A,N/A
k141_151808,Yes,No,Consensus,0.647,0.6905510425567627,Both,N/A,N/A,N/A
k141_151114,Yes,No,Consensus,1.0,0.1039493754506111,Both,N/A,N/A,N/A
NODE_6108_length_1067_cov_1.442688,No,Yes,Consensus,N/A,N/A,N/A,0.893,0.0041767638176679,Both
k141_119460,Yes,No,Consensus,0.627,0.3277068138122558,Both,N/A,N/A,N/A
k141_180071,Yes,No,Consensus,0.92,0.0004767454229295,Both,N/A,N/A,N/A
k141_139095,Yes,No,Consensus,0.6,9.683746611699462e-06,Both,N/A,N/A,N/A
k141_131999,Yes,No,Consensus,0.767,0.0161105282604694,Both,N/A,N/A,N/A
k141_91979,Yes,No,Consensus,0.547,3.116860534646548e-05,Both,N/A,N/A,N/A
k141_82531,Yes,No,Consensus,0.993,0.0318896137177944,Both,N/A,N/A,N/A
k141_23370,Yes,No,Consensus,0.9,0.0275319479405879,Both,N/A,N/A,N/A
k141_147233,Yes,No,Consensus,,0.0071984310634434,Both,N/A,N/A,N/A
k141_44386,Yes,No,Consensus,0.747,2.2718146283295937e-05,Both,N/A,N/A,N/A
k141_67193,Yes,No,Consensus,0.94,0.2661518156528473,Both,N/A,N/A,N/A
k141_115548,Yes,No,Consensus,0.613,0.0096703171730041,Both,N/A,N/A,N/A
NODE_1693_length_1513_cov_3.688615,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.3513331413269043,Both
k141_144443,Yes,No,Consensus,0.513,4.967838762581778e-08,Both,N/A,N/A,N/A
k141_85281,Yes,No,Consensus,0.967,0.3425141274929046,Both,N/A,N/A,N/A
k141_163974,Yes,No,Consensus,0.907,0.5026248097419739,Both,N/A,N/A,N/A
k141_136523,Yes,No,Consensus,0.987,0.0069210915826261,Both,N/A,N/A,N/A
k141_71038,Yes,No,Consensus,0.8,0.3835030794143677,Both,N/A,N/A,N/A
k141_142637,Yes,No,Consensus,0.74,0.000114261485578,Both,N/A,N/A,N/A
k141_61590,Yes,No,Consensus,0.993,0.6172131299972534,Both,N/A,N/A,N/A
k141_40358,Yes,No,Consensus,0.94,0.0773028582334518,Both,N/A,N/A,N/A
NODE_1324_length_1619_cov_3.061381,No,Yes,Consensus,N/A,N/A,N/A,,0.7929794788360596,Both
k141_67225,Yes,No,Consensus,0.747,0.1121335327625274,Both,N/A,N/A,N/A
k141_11395,Yes,No,Consensus,0.613,9.018873970489948e-05,Both,N/A,N/A,N/A
k141_3951,Yes,No,Consensus,0.533,0.0359473340213298,Both,N/A,N/A,N/A
k141_158764,Yes,No,Consensus,0.813,0.0002416783827356,Both,N/A,N/A,N/A
k141_65603,Yes,No,Consensus,0.967,0.0108474344015121,Both,N/A,N/A,N/A
NODE_3291_length_1261_cov_5.129353,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.0327068194746971,Both
k141_137575,Yes,No,Consensus,0.953,0.0011917285155504,Both,N/A,N/A,N/A
k141_57018,Yes,No,Consensus,0.947,0.9320454597473145,Both,N/A,N/A,N/A
k141_38920,Yes,No,Consensus,0.5,0.022693496197462,Both,N/A,N/A,N/A
k141_175670,Yes,No,Consensus,0.72,0.9670812487602234,Both,N/A,N/A,N/A
k141_83780,Yes,No,Consensus,0.513,0.0090890750288963,Both,N/A,N/A,N/A
k141_117263,Yes,No,Consensus,0.72,0.0563920512795448,Both,N/A,N/A,N/A
k141_174141,Yes,No,Consensus,0.987,0.1783454418182373,Both,N/A,N/A,N/A
k141_63100,Yes,No,Consensus,0.967,1.8343893316341564e-05,Both,N/A,N/A,N/A
k141_154849,Yes,No,Consensus,0.973,0.7194817662239075,Both,N/A,N/A,N/A
k141_37445,Yes,No,Consensus,0.54,0.0252596363425254,Both,N/A,N/A,N/A
NODE_444_length_2240_cov_4.177117,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0542518198490142,Both
k141_122323,Yes,No,Consensus,0.96,0.0029221095610409,Both,N/A,N/A,N/A
NODE_5159_length_1117_cov_3.936911,No,Yes,Consensus,N/A,N/A,N/A,0.8,0.4944002330303192,Both
k141_111588,Yes,No,Consensus,0.593,0.0337268225848674,Both,N/A,N/A,N/A
k141_60856,Yes,No,Consensus,0.527,0.5768816471099854,Both,N/A,N/A,N/A
k141_174041,Yes,No,Consensus,1.0,0.0630856752395629,Both,N/A,N/A,N/A
k141_16052,Yes,No,Consensus,0.98,0.5007970333099365,Both,N/A,N/A,N/A
k141_166512,Yes,No,Consensus,0.587,6.929654773557559e-05,Both,N/A,N/A,N/A
k141_140390,Yes,No,Consensus,0.507,0.0020803564693778,Both,N/A,N/A,N/A
k141_181052,Yes,No,Consensus,0.987,0.517135500907898,Both,N/A,N/A,N/A
NODE_3316_length_1259_cov_1.298173,No,Yes,Consensus,N/A,N/A,N/A,0.567,0.0001192600029753,Both
NODE_5205_length_1114_cov_2.345609,No,Yes,Consensus,N/A,N/A,N/A,0.82,0.0001371172111248,Both
k141_87679,Yes,No,Consensus,0.633,0.0233119502663612,Both,N/A,N/A,N/A
k141_10026,Yes,No,Consensus,,2.1647797439072747e-06,Both,N/A,N/A,N/A
k141_141436,Yes,No,Consensus,0.96,0.9992313385009766,Both,N/A,N/A,N/A
NODE_5623_length_1090_cov_2.777778,No,Yes,Consensus,N/A,N/A,N/A,,1.7432626918889582e-05,Both
k141_68568,Yes,No,Consensus,0.767,0.0248259864747524,Both,N/A,N/A,N/A
k141_9972,Yes,No,Consensus,0.953,0.4008539319038391,Both,N/A,N/A,N/A
k141_120565,Yes,No,Consensus,0.927,0.0166230015456676,Both,N/A,N/A,N/A
k141_79044,Yes,No,Consensus,0.8,0.9843206405639648,Both,N/A,N/A,N/A
k141_9526,Yes,No,Consensus,0.96,0.0003082619514316,Both,N/A,N/A,N/A
NODE_2782_length_1319_cov_2.150316,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.1586561352014541,Both
NODE_961_length_1781_cov_3.246234,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.9999969005584716,Both
NODE_4125_length_1188_cov_1.843778,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0426098406314849,Both
k141_62442,Yes,No,Consensus,0.793,0.0049249334260821,Both,N/A,N/A,N/A
k141_46281,Yes,No,Consensus,0.627,0.0008946768939495,Both,N/A,N/A,N/A
k141_160243,Yes,No,Consensus,0.7,1.39811354529229e-05,Both,N/A,N/A,N/A
k141_61472,Yes,No,Consensus,0.76,0.0002519986301194,Both,N/A,N/A,N/A
k141_107192,Yes,No,Consensus,0.553,3.319210736663081e-05,Both,N/A,N/A,N/A
k141_130809,Yes,No,Consensus,0.58,0.4135413467884063,Both,N/A,N/A,N/A
NODE_2687_length_1333_cov_2.097809,No,Yes,Consensus,N/A,N/A,N/A,0.933,0.058191105723381,Both
k141_4397,Yes,No,Consensus,0.973,0.0287616550922393,Both,N/A,N/A,N/A
k141_14770,Yes,No,Consensus,1.0,0.5771716237068176,Both,N/A,N/A,N/A
k141_135124,Yes,No,Consensus,0.833,0.0108966222032904,Both,N/A,N/A,N/A
k141_32454,Yes,No,Consensus,0.947,0.0429600104689598,Both,N/A,N/A,N/A
k141_102186,Yes,No,Consensus,0.967,0.0010510525899007,Both,N/A,N/A,N/A
k141_105628,Yes,No,Consensus,,0.0284601561725139,Both,N/A,N/A,N/A
k141_120758,Yes,No,Consensus,0.847,0.0009223715169355,Both,N/A,N/A,N/A
k141_118185,Yes,No,Consensus,0.987,0.1257436424493789,Both,N/A,N/A,N/A
k141_87197,Yes,No,Consensus,1.0,0.9162408113479614,Both,N/A,N/A,N/A
k141_85210,Yes,No,Consensus,0.6,0.0215476490557193,Both,N/A,N/A,N/A
k141_13920,Yes,No,Consensus,0.98,0.0111158415675163,Both,N/A,N/A,N/A
k141_63654,Yes,No,Consensus,0.987,0.0285859629511833,Both,N/A,N/A,N/A
k141_51448,Yes,No,Consensus,0.887,1.3830739931108837e-07,Both,N/A,N/A,N/A
k141_10413,Yes,No,Consensus,0.813,0.4148398637771606,Both,N/A,N/A,N/A
k141_97556,Yes,No,Consensus,0.787,0.3406249582767486,Both,N/A,N/A,N/A
k141_167557,Yes,No,Consensus,0.52,0.0648423880338668,Both,N/A,N/A,N/A
k141_132929,Yes,No,Consensus,0.513,5.5135828915808816e-06,Both,N/A,N/A,N/A
k141_50904,Yes,No,Consensus,0.82,0.0541026629507541,Both,N/A,N/A,N/A
k141_178329,Yes,No,Consensus,0.64,4.556683052214794e-05,Both,N/A,N/A,N/A
k141_139014,Yes,No,Consensus,0.853,0.0001091578160412,Both,N/A,N/A,N/A
k141_141666,Yes,No,Consensus,0.707,0.0002571642107795,Both,N/A,N/A,N/A
k141_29594,Yes,No,Consensus,0.96,0.0096831079572439,Both,N/A,N/A,N/A
k141_180967,Yes,No,Consensus,0.527,0.0098606804385781,Both,N/A,N/A,N/A
k141_165791,Yes,No,Consensus,,0.5467303991317749,Both,N/A,N/A,N/A
k141_78063,Yes,No,Consensus,0.7,0.0301273874938488,Both,N/A,N/A,N/A
k141_141243,Yes,No,Consensus,1.0,0.0047178594395518,Both,N/A,N/A,N/A
k141_75945,Yes,No,Consensus,0.5,0.0058646188117563,Both,N/A,N/A,N/A
k141_126434,Yes,No,Consensus,0.953,0.995896816253662,Both,N/A,N/A,N/A
k141_48783,Yes,No,Consensus,0.993,0.5106303095817566,Both,N/A,N/A,N/A
k141_128102,Yes,No,Consensus,0.52,0.0071559436619281,Both,N/A,N/A,N/A
NODE_3538_length_1236_cov_2.240474,No,Yes,Consensus,N/A,N/A,N/A,0.653,0.0137899760156869,Both
NODE_3356_length_1255_cov_1.310000,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.006033781915903,Both
NODE_2926_length_1303_cov_1.918269,No,Yes,Consensus,N/A,N/A,N/A,0.853,0.0030751880258321,Both
k141_59522,Yes,No,Consensus,0.76,0.0181026067584753,Both,N/A,N/A,N/A
k141_139506,Yes,No,Consensus,0.727,0.0230542719364166,Both,N/A,N/A,N/A
k141_62678,Yes,No,Consensus,0.84,0.0333965122699737,Both,N/A,N/A,N/A
k141_63989,Yes,No,Consensus,0.993,0.0695149600505828,Both,N/A,N/A,N/A
NODE_2796_length_1317_cov_3.618859,No,Yes,Consensus,N/A,N/A,N/A,0.733,0.530795693397522,Both
k141_65759,Yes,No,Consensus,0.967,0.0417814627289772,Both,N/A,N/A,N/A
k141_94017,Yes,No,Consensus,0.527,0.0013319611316546,Both,N/A,N/A,N/A
k141_173312,Yes,No,Consensus,,0.4415814578533172,Both,N/A,N/A,N/A
k141_96467,Yes,No,Consensus,0.847,0.0012620303314179,Both,N/A,N/A,N/A
k141_158749,Yes,No,Consensus,0.813,0.2321128845214843,Both,N/A,N/A,N/A
k141_35181,Yes,No,Consensus,0.813,0.117233321070671,Both,N/A,N/A,N/A
NODE_2412_length_1372_cov_2.535308,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.0259430222213268,Both
k141_28848,Yes,No,Consensus,0.84,0.0050985622219741,Both,N/A,N/A,N/A
k141_39769,Yes,No,Consensus,0.987,0.7017395496368408,Both,N/A,N/A,N/A
k141_114244,Yes,No,Consensus,0.727,0.9999523758888244,Both,N/A,N/A,N/A
k141_172535,Yes,No,Consensus,0.88,0.3618443310260772,Both,N/A,N/A,N/A
k141_51860,Yes,No,Consensus,0.873,0.0217768363654613,Both,N/A,N/A,N/A
k141_162734,Yes,No,Consensus,0.62,0.0497856363654136,Both,N/A,N/A,N/A
k141_172403,Yes,No,Consensus,0.787,0.0088834092020988,Both,N/A,N/A,N/A
k141_99227,Yes,No,Consensus,0.96,0.972129225730896,Both,N/A,N/A,N/A
k141_111948,Yes,No,Consensus,0.54,0.0478082448244094,Both,N/A,N/A,N/A
k141_161995,Yes,No,Consensus,0.62,3.1178137760434765e-07,Both,N/A,N/A,N/A
k141_114235,Yes,No,Consensus,1.0,0.3943699896335602,Both,N/A,N/A,N/A
k141_180011,Yes,No,Consensus,0.753,0.0480728149414062,Both,N/A,N/A,N/A
k141_29836,Yes,No,Consensus,0.793,0.0026800744235515,Both,N/A,N/A,N/A
k141_93438,Yes,No,Consensus,0.907,0.0769654661417007,Both,N/A,N/A,N/A
k141_2639,Yes,No,Consensus,0.98,0.0001940910005941,Both,N/A,N/A,N/A
k141_53389,Yes,No,Consensus,0.553,1.601331689471408e-07,Both,N/A,N/A,N/A
k141_64693,Yes,No,Consensus,0.993,0.0368957743048667,Both,N/A,N/A,N/A
k141_56223,Yes,No,Consensus,1.0,0.0074436939321458,Both,N/A,N/A,N/A
k141_89121,Yes,No,Consensus,0.96,7.089701682715457e-14,Both,N/A,N/A,N/A
k141_74712,Yes,No,Consensus,0.993,0.0948820114135742,Both,N/A,N/A,N/A
k141_43266,Yes,No,Consensus,0.927,0.2171428203582763,Both,N/A,N/A,N/A
k141_59877,Yes,No,Consensus,0.78,0.0192392412573099,Both,N/A,N/A,N/A
k141_160209,Yes,No,Consensus,0.873,4.361797618912533e-05,Both,N/A,N/A,N/A
NODE_4205_length_1182_cov_1.604259,No,Yes,Consensus,N/A,N/A,N/A,0.847,2.145128746633418e-06,Both
k141_3911,Yes,No,Consensus,0.54,0.0154952388256788,Both,N/A,N/A,N/A
k141_171222,Yes,No,Consensus,0.527,1.2251818588993046e-05,Both,N/A,N/A,N/A
k141_128214,Yes,No,Consensus,0.933,0.9999387860298156,Both,N/A,N/A,N/A
k141_108904,Yes,No,Consensus,0.94,0.2912048101425171,Both,N/A,N/A,N/A
k141_32250,Yes,No,Consensus,0.887,0.4534255564212799,Both,N/A,N/A,N/A
k141_181168,Yes,No,Consensus,0.967,0.0003035909903701,Both,N/A,N/A,N/A
k141_20281,Yes,No,Consensus,0.753,6.004010356264189e-05,Both,N/A,N/A,N/A
k141_104682,Yes,No,Consensus,0.993,0.0635904893279075,Both,N/A,N/A,N/A
k141_169525,Yes,No,Consensus,0.987,0.1416022926568985,Both,N/A,N/A,N/A
k141_116411,Yes,No,Consensus,0.76,0.0193801261484622,Both,N/A,N/A,N/A
k141_121678,Yes,No,Consensus,0.993,0.0698127746582031,Both,N/A,N/A,N/A
NODE_415_length_2297_cov_3.311775,No,Yes,Consensus,N/A,N/A,N/A,0.927,0.999998927116394,Both
k141_153960,Yes,No,Consensus,0.947,0.0023814276792109,Both,N/A,N/A,N/A
k141_26920,Yes,No,Consensus,0.94,0.3245106637477875,Both,N/A,N/A,N/A
k141_136769,Yes,No,Consensus,,0.0045295022428035,Both,N/A,N/A,N/A
k141_104982,Yes,No,Consensus,0.987,0.8046566247940063,Both,N/A,N/A,N/A
k141_27419,Yes,No,Consensus,0.64,0.0001133652331191,Both,N/A,N/A,N/A
NODE_7232_length_1020_cov_1.147150,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0003083314513787,Both
k141_26565,Yes,No,Consensus,0.72,0.0030306207481771,Both,N/A,N/A,N/A
k141_173621,Yes,No,Consensus,0.867,0.0089716091752052,Both,N/A,N/A,N/A
k141_49099,Yes,No,Consensus,0.64,0.0003927137877326,Both,N/A,N/A,N/A
k141_156775,Yes,No,Consensus,0.927,0.9404998421669006,Both,N/A,N/A,N/A
k141_122678,Yes,No,Consensus,0.967,4.4671657484229854e-09,Both,N/A,N/A,N/A
k141_72978,Yes,No,Consensus,0.64,0.0093993842601776,Both,N/A,N/A,N/A
k141_60046,Yes,No,Consensus,0.58,0.010362253524363,Both,N/A,N/A,N/A
k141_84103,Yes,No,Consensus,0.653,0.9998492002487184,Both,N/A,N/A,N/A
k141_76042,Yes,No,Consensus,0.567,0.4178447127342224,Both,N/A,N/A,N/A
NODE_122_length_3246_cov_3.753996,No,Yes,Consensus,N/A,N/A,N/A,0.733,0.1499446332454681,Both
k141_165217,Yes,No,Consensus,0.887,0.9938020706176758,Both,N/A,N/A,N/A
k141_108610,Yes,No,Consensus,0.68,0.4539390802383423,Both,N/A,N/A,N/A
k141_71808,Yes,No,Consensus,0.993,0.000418776879087,Both,N/A,N/A,N/A
k141_153788,Yes,No,Consensus,0.753,0.0576445125043392,Both,N/A,N/A,N/A
k141_102146,Yes,No,Consensus,0.68,0.5600832104682922,Both,N/A,N/A,N/A
k141_137864,Yes,No,Consensus,0.86,0.0421714931726455,Both,N/A,N/A,N/A
k141_144945,Yes,No,Consensus,0.953,0.0024398036766797,Both,N/A,N/A,N/A
k141_54864,Yes,No,Consensus,0.967,0.9518799781799316,Both,N/A,N/A,N/A
k141_139580,Yes,No,Consensus,0.613,7.234510213116605e-10,Both,N/A,N/A,N/A
NODE_73_length_3780_cov_3.457450,No,Yes,Consensus,N/A,N/A,N/A,0.793,0.0593353062868118,Both
k141_116184,Yes,No,Consensus,0.96,0.0390980020165443,Both,N/A,N/A,N/A
NODE_4713_length_1148_cov_1.370540,No,Yes,Consensus,N/A,N/A,N/A,0.853,0.0016161785461008,Both
k141_159585,Yes,No,Consensus,1.0,0.1168956011533737,Both,N/A,N/A,N/A
k141_180079,Yes,No,Consensus,0.953,0.988981306552887,Both,N/A,N/A,N/A
k141_44077,Yes,No,Consensus,,1.1137802175653633e-05,Both,N/A,N/A,N/A
k141_36384,Yes,No,Consensus,0.633,0.3360787034034729,Both,N/A,N/A,N/A
k141_20212,Yes,No,Consensus,,0.761449933052063,Both,N/A,N/A,N/A
k141_165199,Yes,No,Consensus,0.573,0.6457191705703735,Both,N/A,N/A,N/A
k141_79795,Yes,No,Consensus,,0.028140926733613,Both,N/A,N/A,N/A
k141_86011,Yes,No,Consensus,0.993,0.2058221399784088,Both,N/A,N/A,N/A
k141_69538,Yes,No,Consensus,0.547,0.0029472904279828,Both,N/A,N/A,N/A
k141_43177,Yes,No,Consensus,1.0,0.9833883047103882,Both,N/A,N/A,N/A
k141_177260,Yes,No,Consensus,0.967,0.6706080436706543,Both,N/A,N/A,N/A
k141_17500,Yes,No,Consensus,0.993,0.3074301183223724,Both,N/A,N/A,N/A
k141_71130,Yes,No,Consensus,0.987,0.2812577486038208,Both,N/A,N/A,N/A
k141_66386,Yes,No,Consensus,0.553,0.0002998553682118,Both,N/A,N/A,N/A
k141_124321,Yes,No,Consensus,0.707,0.056484930217266,Both,N/A,N/A,N/A
k141_15882,Yes,No,Consensus,0.933,0.0007313170353882,Both,N/A,N/A,N/A
k141_141937,Yes,No,Consensus,0.52,0.0821339040994644,Both,N/A,N/A,N/A
k141_45103,Yes,No,Consensus,0.56,0.9989731311798096,Both,N/A,N/A,N/A
k141_152153,Yes,No,Consensus,,0.0001694076781859,Both,N/A,N/A,N/A
k141_16663,Yes,No,Consensus,0.78,0.0012269016588106,Both,N/A,N/A,N/A
k141_29685,Yes,No,Consensus,0.76,0.000220722897211,Both,N/A,N/A,N/A
k141_23286,Yes,No,Consensus,0.66,0.7718542814254761,Both,N/A,N/A,N/A
k141_156205,Yes,No,Consensus,0.84,0.0002468745806254,Both,N/A,N/A,N/A
k141_63757,Yes,No,Consensus,0.693,0.0008853139588609,Both,N/A,N/A,N/A
k141_457,Yes,No,Consensus,1.0,0.4565483033657074,Both,N/A,N/A,N/A
k141_45451,Yes,No,Consensus,0.667,2.6786068701767363e-05,Both,N/A,N/A,N/A
k141_117053,Yes,No,Consensus,0.993,0.1325094103813171,Both,N/A,N/A,N/A
k141_109095,Yes,No,Consensus,0.813,0.0453601703047752,Both,N/A,N/A,N/A
k141_96355,Yes,No,Consensus,0.98,0.993445634841919,Both,N/A,N/A,N/A
k141_63608,Yes,No,Consensus,0.66,0.2121892273426056,Both,N/A,N/A,N/A
k141_83954,Yes,No,Consensus,0.913,0.0302721858024597,Both,N/A,N/A,N/A
k141_29323,Yes,No,Consensus,0.973,0.543339729309082,Both,N/A,N/A,N/A
NODE_3994_length_1198_cov_3.377078,No,Yes,Consensus,N/A,N/A,N/A,0.893,0.5280710458755493,Both
k141_26217,Yes,No,Consensus,0.56,9.523642802378164e-05,Both,N/A,N/A,N/A
NODE_5584_length_1093_cov_1.033719,No,Yes,Consensus,N/A,N/A,N/A,0.68,0.0001106589261326,Both
NODE_6506_length_1049_cov_1.654930,No,Yes,Consensus,N/A,N/A,N/A,0.707,0.0067779035307466,Both
k141_153808,Yes,No,Consensus,0.587,9.677010530140252e-05,Both,N/A,N/A,N/A
k141_95676,Yes,No,Consensus,0.907,0.0013176290085539,Both,N/A,N/A,N/A
