sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
NODE_3085_length_1285_cov_1.267480,No,Yes,Consensus,N/A,N/A,N/A,,0.0075111435726284,Both
NODE_1671_length_1519_cov_2.061475,No,Yes,Consensus,N/A,N/A,N/A,,6.175736052682623e-05,Both
k141_153777,Yes,No,Consensus,0.827,0.000476096465718,Both,N/A,N/A,N/A
k141_143788,Yes,No,Consensus,1.0,0.1591603904962539,Both,N/A,N/A,N/A
k141_67891,Yes,No,Consensus,0.613,0.0953343734145164,Both,N/A,N/A,N/A
k141_56366,Yes,No,Consensus,0.827,0.0034913732670247,Both,N/A,N/A,N/A
k141_64213,Yes,No,Consensus,0.6,0.0045988666824996,Both,N/A,N/A,N/A
k141_141511,Yes,No,Consensus,0.52,0.0021639647893607,Both,N/A,N/A,N/A
k141_4490,Yes,No,Consensus,0.613,0.0981101617217063,Both,N/A,N/A,N/A
k141_34208,Yes,No,Consensus,0.793,0.5739097595214844,Both,N/A,N/A,N/A
k141_68498,Yes,No,Consensus,0.687,0.0133728645741939,Both,N/A,N/A,N/A
k141_173807,Yes,No,Consensus,0.787,0.0088834092020988,Both,N/A,N/A,N/A
k141_5368,Yes,No,Consensus,0.567,0.041231133043766,Both,N/A,N/A,N/A
k141_154767,Yes,No,Consensus,0.873,0.1802238076925277,Both,N/A,N/A,N/A
k141_21903,Yes,No,Consensus,0.607,6.673192274320172e-07,Both,N/A,N/A,N/A
k141_35259,Yes,No,Consensus,0.887,0.6191986799240112,Both,N/A,N/A,N/A
k141_174990,Yes,No,Consensus,0.88,0.0828279182314872,Both,N/A,N/A,N/A
NODE_2259_length_1399_cov_1.097470,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.2723908722400665,Both
k141_102102,Yes,No,Consensus,0.907,0.0347561687231063,Both,N/A,N/A,N/A
k141_70426,Yes,No,Consensus,,0.309921532869339,Both,N/A,N/A,N/A
k141_7671,Yes,No,Consensus,0.84,0.0388098023831844,Both,N/A,N/A,N/A
k141_142334,Yes,No,Consensus,1.0,0.0047178594395518,Both,N/A,N/A,N/A
k141_44636,Yes,No,Consensus,0.94,0.0029768811073154,Both,N/A,N/A,N/A
k141_27041,Yes,No,Consensus,0.907,0.0013214414939284,Both,N/A,N/A,N/A
k141_72702,Yes,No,Consensus,0.967,0.1381361633539199,Both,N/A,N/A,N/A
k141_137156,Yes,No,Consensus,0.58,0.4228792786598205,Both,N/A,N/A,N/A
k141_104990,Yes,No,Consensus,0.993,0.3648829758167267,Both,N/A,N/A,N/A
k141_93920,Yes,No,Consensus,0.887,0.0003560044278856,Both,N/A,N/A,N/A
k141_119847,Yes,No,Consensus,0.527,0.0098870424553751,Both,N/A,N/A,N/A
k141_46107,Yes,No,Consensus,0.867,0.0005986423930153,Both,N/A,N/A,N/A
NODE_444_length_2240_cov_4.177117,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0542518198490142,Both
k141_80547,Yes,No,Consensus,0.927,0.8690940141677856,Both,N/A,N/A,N/A
k141_66502,Yes,No,Consensus,0.827,9.146761840383988e-06,Both,N/A,N/A,N/A
k141_124305,Yes,No,Consensus,0.707,0.056484930217266,Both,N/A,N/A,N/A
k141_102576,Yes,No,Consensus,0.953,0.0001938754430739,Both,N/A,N/A,N/A
k141_170750,Yes,No,Consensus,0.567,0.6132858991622925,Both,N/A,N/A,N/A
k141_168838,Yes,No,Consensus,0.993,0.0028784410096704,Both,N/A,N/A,N/A
k141_155215,Yes,No,Consensus,0.873,0.4989183843135834,Both,N/A,N/A,N/A
k141_74618,Yes,No,Consensus,1.0,0.376132994890213,Both,N/A,N/A,N/A
k141_177661,Yes,No,Consensus,0.987,0.9977693557739258,Both,N/A,N/A,N/A
k141_62899,Yes,No,Consensus,0.98,0.0004999337252229,Both,N/A,N/A,N/A
k141_171537,Yes,No,Consensus,0.967,0.0090180691331624,Both,N/A,N/A,N/A
k141_102416,Yes,No,Consensus,0.52,0.092534027993679,Both,N/A,N/A,N/A
k141_142506,Yes,No,Consensus,,0.0037285224534571,Both,N/A,N/A,N/A
NODE_3209_length_1270_cov_1.696296,No,Yes,Consensus,N/A,N/A,N/A,1.0,3.634332460933365e-05,Both
k141_10668,Yes,No,Consensus,0.987,5.5739281634714644e-08,Both,N/A,N/A,N/A
NODE_2908_length_1305_cov_1.920000,No,Yes,Consensus,N/A,N/A,N/A,0.687,0.0529332607984542,Both
k141_147123,Yes,No,Consensus,0.907,0.0009482891182415,Both,N/A,N/A,N/A
k141_111716,Yes,No,Consensus,0.747,0.0001611201732885,Both,N/A,N/A,N/A
k141_7406,Yes,No,Consensus,1.0,0.9075103998184204,Both,N/A,N/A,N/A
k141_83599,Yes,No,Consensus,0.747,0.0208170469850301,Both,N/A,N/A,N/A
k141_16066,Yes,No,Consensus,0.933,0.0007313170353882,Both,N/A,N/A,N/A
NODE_1088_length_1717_cov_2.357401,No,Yes,Consensus,N/A,N/A,N/A,,0.1783044338226318,Both
k141_16756,Yes,No,Consensus,0.813,0.0732562243938446,Both,N/A,N/A,N/A
k141_84782,Yes,No,Consensus,0.993,0.2058221399784088,Both,N/A,N/A,N/A
k141_12916,Yes,No,Consensus,0.787,0.0184688568115234,Both,N/A,N/A,N/A
k141_60966,Yes,No,Consensus,0.727,0.2832982242107391,Both,N/A,N/A,N/A
k141_8049,Yes,No,Consensus,0.633,0.5730365514755249,Both,N/A,N/A,N/A
k141_137328,Yes,No,Consensus,0.987,4.77246373975504e-07,Both,N/A,N/A,N/A
k141_92861,Yes,No,Consensus,0.973,0.0002056408848147,Both,N/A,N/A,N/A
NODE_2412_length_1372_cov_2.535308,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.0259430222213268,Both
k141_74061,Yes,No,Consensus,0.993,0.0698389634490013,Both,N/A,N/A,N/A
k141_164596,Yes,No,Consensus,0.827,1.841526318457909e-05,Both,N/A,N/A,N/A
k141_177215,Yes,No,Consensus,,6.173178462631768e-06,Both,N/A,N/A,N/A
NODE_1324_length_1619_cov_3.061381,No,Yes,Consensus,N/A,N/A,N/A,,0.7929794788360596,Both
k141_72034,Yes,No,Consensus,0.933,0.0092177409678697,Both,N/A,N/A,N/A
k141_163363,Yes,No,Consensus,0.52,0.8564216494560242,Both,N/A,N/A,N/A
k141_26114,Yes,No,Consensus,0.94,0.3245106637477875,Both,N/A,N/A,N/A
k141_32058,Yes,No,Consensus,1.0,0.042344257235527,Both,N/A,N/A,N/A
k141_12081,Yes,No,Consensus,0.993,5.2638124969917044e-08,Both,N/A,N/A,N/A
k141_166987,Yes,No,Consensus,0.56,0.0016277867835015,Both,N/A,N/A,N/A
NODE_7326_length_1016_cov_1.473465,No,Yes,Consensus,N/A,N/A,N/A,,0.0030767573043704,Both
k141_120052,Yes,No,Consensus,0.813,0.3204673826694488,Both,N/A,N/A,N/A
k141_149429,Yes,No,Consensus,0.867,0.0312181934714317,Both,N/A,N/A,N/A
k141_131287,Yes,No,Consensus,0.98,0.0354685187339782,Both,N/A,N/A,N/A
k141_42530,Yes,No,Consensus,,0.0001256667019333,Both,N/A,N/A,N/A
k141_117503,Yes,No,Consensus,0.947,9.451206278754398e-05,Both,N/A,N/A,N/A
k141_83574,Yes,No,Consensus,0.62,0.448679655790329,Both,N/A,N/A,N/A
k141_50931,Yes,No,Consensus,0.807,0.0006268915603868,Both,N/A,N/A,N/A
k141_68517,Yes,No,Consensus,0.673,0.595707356929779,Both,N/A,N/A,N/A
k141_171693,Yes,No,Consensus,0.66,0.0169578399509191,Both,N/A,N/A,N/A
k141_172811,Yes,No,Consensus,,0.6087085604667664,Both,N/A,N/A,N/A
k141_131776,Yes,No,Consensus,0.933,0.0032601389102637,Both,N/A,N/A,N/A
NODE_4755_length_1145_cov_1.601835,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.2393617928028106,Both
NODE_4168_length_1184_cov_3.765279,No,Yes,Consensus,N/A,N/A,N/A,0.553,0.626308798789978,Both
k141_110777,Yes,No,Consensus,0.96,0.349039226770401,Both,N/A,N/A,N/A
NODE_1049_length_1732_cov_2.795468,No,Yes,Consensus,N/A,N/A,N/A,,0.999997079372406,Both
k141_110511,Yes,No,Consensus,0.973,5.126655014464632e-05,Both,N/A,N/A,N/A
k141_96223,Yes,No,Consensus,0.673,0.8396772146224976,Both,N/A,N/A,N/A
k141_7979,Yes,No,Consensus,0.92,0.0012804460711777,Both,N/A,N/A,N/A
k141_70825,Yes,No,Consensus,0.513,9.45960181297778e-08,Both,N/A,N/A,N/A
k141_126301,Yes,No,Consensus,,0.0005149649223312,Both,N/A,N/A,N/A
k141_42221,Yes,No,Consensus,0.967,0.5525485873222351,Both,N/A,N/A,N/A
k141_97150,Yes,No,Consensus,0.787,0.3406249582767486,Both,N/A,N/A,N/A
k141_67312,Yes,No,Consensus,1.0,0.0128822717815637,Both,N/A,N/A,N/A
k141_123222,Yes,No,Consensus,0.987,0.000878951861523,Both,N/A,N/A,N/A
k141_64841,Yes,No,Consensus,0.693,0.0008853139588609,Both,N/A,N/A,N/A
k141_163731,Yes,No,Consensus,0.987,0.927348494529724,Both,N/A,N/A,N/A
k141_78110,Yes,No,Consensus,0.647,0.0151690263301134,Both,N/A,N/A,N/A
k141_146696,Yes,No,Consensus,0.687,5.393025048761046e-07,Both,N/A,N/A,N/A
k141_118518,Yes,No,Consensus,0.767,0.5061466693878174,Both,N/A,N/A,N/A
k141_86212,Yes,No,Consensus,0.553,0.0001080096917576,Both,N/A,N/A,N/A
k141_128027,Yes,No,Consensus,0.96,0.6922692060470581,Both,N/A,N/A,N/A
k141_37430,Yes,No,Consensus,,0.0005146585172042,Both,N/A,N/A,N/A
k141_98527,Yes,No,Consensus,0.993,0.9996910095214844,Both,N/A,N/A,N/A
k141_7074,Yes,No,Consensus,0.993,0.0139149008318781,Both,N/A,N/A,N/A
k141_20713,Yes,No,Consensus,0.793,0.0223195496946573,Both,N/A,N/A,N/A
k141_44485,Yes,No,Consensus,0.667,2.6786068701767363e-05,Both,N/A,N/A,N/A
NODE_1357_length_1608_cov_1.590470,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.1044110879302024,Both
k141_5071,Yes,No,Consensus,0.927,0.0024955060798674,Both,N/A,N/A,N/A
k141_151289,Yes,No,Consensus,0.727,0.83302241563797,Both,N/A,N/A,N/A
k141_24242,Yes,No,Consensus,0.92,0.4627147316932678,Both,N/A,N/A,N/A
k141_100944,Yes,No,Consensus,0.947,0.182449996471405,Both,N/A,N/A,N/A
k141_8579,Yes,No,Consensus,,0.0468797534704208,Both,N/A,N/A,N/A
k141_81659,Yes,No,Consensus,0.707,0.4268858134746551,Both,N/A,N/A,N/A
k141_92490,Yes,No,Consensus,0.54,0.000447358994279,Both,N/A,N/A,N/A
k141_61607,Yes,No,Consensus,0.527,0.5768816471099854,Both,N/A,N/A,N/A
k141_72955,Yes,No,Consensus,0.92,8.130082278512418e-07,Both,N/A,N/A,N/A
NODE_5430_length_1101_cov_1.511472,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.0044634793885052,Both
k141_50001,Yes,No,Consensus,0.567,0.008446404710412,Both,N/A,N/A,N/A
k141_118476,Yes,No,Consensus,0.72,0.0563920512795448,Both,N/A,N/A,N/A
k141_180502,Yes,No,Consensus,0.847,0.0872517451643943,Both,N/A,N/A,N/A
k141_119779,Yes,No,Consensus,0.867,8.228157639678102e-06,Both,N/A,N/A,N/A
k141_37224,Yes,No,Consensus,0.667,0.0093578184023499,Both,N/A,N/A,N/A
k141_8375,Yes,No,Consensus,0.78,0.0298247821629047,Both,N/A,N/A,N/A
k141_63258,Yes,No,Consensus,0.787,0.714137613773346,Both,N/A,N/A,N/A
k141_116991,Yes,No,Consensus,0.64,0.0011175582185387,Both,N/A,N/A,N/A
k141_84564,Yes,No,Consensus,0.88,0.1023789048194885,Both,N/A,N/A,N/A
k141_152618,Yes,No,Consensus,0.587,9.677010530140252e-05,Both,N/A,N/A,N/A
k141_97037,Yes,No,Consensus,1.0,0.4963500797748565,Both,N/A,N/A,N/A
k141_97424,Yes,No,Consensus,0.793,0.0010682266438379,Both,N/A,N/A,N/A
k141_146613,Yes,No,Consensus,,0.0005299288313835,Both,N/A,N/A,N/A
k141_113574,Yes,No,Consensus,1.0,0.3943699896335602,Both,N/A,N/A,N/A
k141_154782,Yes,No,Consensus,0.92,0.0112736821174621,Both,N/A,N/A,N/A
k141_126630,Yes,No,Consensus,0.993,0.0055518974550068,Both,N/A,N/A,N/A
k141_47022,Yes,No,Consensus,0.553,0.0453229956328868,Both,N/A,N/A,N/A
k141_11289,Yes,No,Consensus,0.967,0.0005024569691158,Both,N/A,N/A,N/A
k141_47214,Yes,No,Consensus,0.967,0.928112268447876,Both,N/A,N/A,N/A
NODE_2352_length_1382_cov_2.902788,No,Yes,Consensus,N/A,N/A,N/A,,0.9983310699462892,Both
k141_58799,Yes,No,Consensus,1.0,0.018955573439598,Both,N/A,N/A,N/A
k141_156917,Yes,No,Consensus,0.8,0.013987248763442,Both,N/A,N/A,N/A
k141_161073,Yes,No,Consensus,0.74,0.033616192638874,Both,N/A,N/A,N/A
k141_17675,Yes,No,Consensus,0.54,3.263664257247001e-05,Both,N/A,N/A,N/A
k141_43658,Yes,No,Consensus,0.927,0.4087073802947998,Both,N/A,N/A,N/A
k141_1549,Yes,No,Consensus,0.727,0.9965659379959106,Both,N/A,N/A,N/A
k141_68836,Yes,No,Consensus,0.867,0.3848252892494201,Both,N/A,N/A,N/A
k141_51723,Yes,No,Consensus,0.78,9.543413762003183e-05,Both,N/A,N/A,N/A
k141_66533,Yes,No,Consensus,0.573,0.0060272458940744,Both,N/A,N/A,N/A
k141_146054,Yes,No,Consensus,1.0,0.1141695901751518,Both,N/A,N/A,N/A
k141_152720,Yes,No,Consensus,0.647,0.6905510425567627,Both,N/A,N/A,N/A
k141_83543,Yes,No,Consensus,0.74,0.038321815431118,Both,N/A,N/A,N/A
k141_76243,Yes,No,Consensus,0.96,1.8766608263831586e-05,Both,N/A,N/A,N/A
NODE_4478_length_1163_cov_3.801444,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.0020740223117172,Both
k141_143713,Yes,No,Consensus,0.793,0.7625464200973511,Both,N/A,N/A,N/A
k141_43778,Yes,No,Consensus,0.74,6.595915328944102e-05,Both,N/A,N/A,N/A
k141_57440,Yes,No,Consensus,0.967,0.7112307548522949,Both,N/A,N/A,N/A
k141_125509,Yes,No,Consensus,0.987,0.0217448789626359,Both,N/A,N/A,N/A
k141_177588,Yes,No,Consensus,,9.211794882446613e-09,Both,N/A,N/A,N/A
k141_71075,Yes,No,Consensus,0.98,0.7138033509254456,Both,N/A,N/A,N/A
k141_9567,Yes,No,Consensus,0.973,0.1626137644052505,Both,N/A,N/A,N/A
k141_1633,Yes,No,Consensus,0.967,0.0003053590189665,Both,N/A,N/A,N/A
k141_173646,Yes,No,Consensus,0.967,0.0753510519862175,Both,N/A,N/A,N/A
k141_136897,Yes,No,Consensus,0.833,0.0108966222032904,Both,N/A,N/A,N/A
NODE_4365_length_1171_cov_2.240143,No,Yes,Consensus,N/A,N/A,N/A,0.86,0.0842672809958458,Both
k141_80612,Yes,No,Consensus,0.52,0.0311197824776172,Both,N/A,N/A,N/A
k141_51253,Yes,No,Consensus,0.62,0.3484840989112854,Both,N/A,N/A,N/A
k141_108956,Yes,No,Consensus,0.793,0.1570754051208496,Both,N/A,N/A,N/A
k141_174775,Yes,No,Consensus,0.867,0.5301043391227722,Both,N/A,N/A,N/A
NODE_421_length_2281_cov_3.306379,No,Yes,Consensus,N/A,N/A,N/A,0.613,0.0574886202812194,Both
k141_136082,Yes,No,Consensus,,0.0045295022428035,Both,N/A,N/A,N/A
k141_43226,Yes,No,Consensus,0.6,1.3538899565901374e-06,Both,N/A,N/A,N/A
k141_169768,Yes,No,Consensus,0.867,2.826125410138048e-06,Both,N/A,N/A,N/A
k141_81107,Yes,No,Consensus,0.833,0.7369129061698914,Both,N/A,N/A,N/A
k141_85502,Yes,No,Consensus,0.513,0.0090890750288963,Both,N/A,N/A,N/A
k141_72238,Yes,No,Consensus,0.993,0.000418776879087,Both,N/A,N/A,N/A
k141_100406,Yes,No,Consensus,0.847,0.219975084066391,Both,N/A,N/A,N/A
NODE_1241_length_1653_cov_2.001877,No,Yes,Consensus,N/A,N/A,N/A,0.9,0.016922540962696,Both
k141_112729,Yes,No,Consensus,0.987,0.9999982714653016,Both,N/A,N/A,N/A
k141_177489,Yes,No,Consensus,0.973,0.0002000037493417,Both,N/A,N/A,N/A
k141_4923,Yes,No,Consensus,0.713,6.057688733562827e-05,Both,N/A,N/A,N/A
k141_137543,Yes,No,Consensus,0.507,0.0463387481868267,Both,N/A,N/A,N/A
k141_69815,Yes,No,Consensus,0.62,0.0212169513106346,Both,N/A,N/A,N/A
k141_25755,Yes,No,Consensus,0.72,0.0030306207481771,Both,N/A,N/A,N/A
k141_4146,Yes,No,Consensus,0.733,0.0179774742573499,Both,N/A,N/A,N/A
k141_92733,Yes,No,Consensus,0.947,0.0057569211348891,Both,N/A,N/A,N/A
NODE_5712_length_1086_cov_1.091174,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.4537846148014068,Both
k141_128187,Yes,No,Consensus,0.72,0.0075131892226636,Both,N/A,N/A,N/A
k141_15655,Yes,No,Consensus,,2.9721302325924626e-06,Both,N/A,N/A,N/A
NODE_3501_length_1240_cov_1.274262,No,Yes,Consensus,N/A,N/A,N/A,0.693,0.000670580600854,Both
NODE_2813_length_1315_cov_5.635714,No,Yes,Consensus,N/A,N/A,N/A,0.94,0.0487768873572349,Both
k141_29198,Yes,No,Consensus,0.76,0.000220722897211,Both,N/A,N/A,N/A
k141_119652,Yes,No,Consensus,0.94,0.1189989820122718,Both,N/A,N/A,N/A
k141_91909,Yes,No,Consensus,0.507,0.0229216217994689,Both,N/A,N/A,N/A
k141_165510,Yes,No,Consensus,0.713,0.0815610289573669,Both,N/A,N/A,N/A
NODE_4663_length_1151_cov_1.449818,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.9524310827255248,Both
k141_74330,Yes,No,Consensus,,0.3280681371688843,Both,N/A,N/A,N/A
k141_22257,Yes,No,Consensus,0.96,0.8456028699874878,Both,N/A,N/A,N/A
k141_13604,Yes,No,Consensus,1.0,0.0880547314882278,Both,N/A,N/A,N/A
k141_33414,Yes,No,Consensus,0.847,0.0016453627031296,Both,N/A,N/A,N/A
k141_3777,Yes,No,Consensus,0.867,0.0029414223972707,Both,N/A,N/A,N/A
k141_149927,Yes,No,Consensus,1.0,0.7527948617935181,Both,N/A,N/A,N/A
NODE_106_length_3379_cov_3.513237,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.9999285340309144,Both
k141_173401,Yes,No,Consensus,1.0,0.0253660939633846,Both,N/A,N/A,N/A
k141_19253,Yes,No,Consensus,0.94,0.0222819671034812,Both,N/A,N/A,N/A
k141_37702,Yes,No,Consensus,0.767,0.0015765696298331,Both,N/A,N/A,N/A
k141_87384,Yes,No,Consensus,0.8,0.7874119281768799,Both,N/A,N/A,N/A
k141_122390,Yes,No,Consensus,0.713,0.0274075027555227,Both,N/A,N/A,N/A
